Subject,Age,Gender,Measure,Condition,Value
1,21,M,avg_time_sec,PBg,3.06
1,21,M,avg_time_sec,PCam,5.03
1,21,M,avg_time_sec,TECam,5.66
1,21,M,avg_moves,PBg,1.48
1,21,M,avg_moves,PCam,2.26
1,21,M,avg_moves,TECam,3.96
1,21,M,total_errors,PBg,0
1,21,M,total_errors,PCam,4
1,21,M,total_errors,TECam,5
3,43,M,avg_time_sec,PBg,6.48
3,43,M,avg_time_sec,PCam,4.66
3,43,M,avg_time_sec,TECam,7.18
3,43,M,avg_moves,PBg,2.57
3,43,M,avg_moves,PCam,1.74
3,43,M,avg_moves,TECam,6.26
3,43,M,total_errors,PBg,0
3,43,M,total_errors,PCam,3
3,43,M,total_errors,TECam,1
7,29,M,avg_time_sec,PBg,4.58
7,29,M,avg_time_sec,PCam,7.16
7,29,M,avg_time_sec,TECam,6.33
7,29,M,avg_moves,PBg,2.39
7,29,M,avg_moves,PCam,6.87
7,29,M,avg_moves,TECam,7.13
7,29,M,total_errors,PBg,0
7,29,M,total_errors,PCam,11
7,29,M,total_errors,TECam,1
8,26,M,avg_time_sec,PBg,6.29
8,26,M,avg_time_sec,PCam,7.48
8,26,M,avg_time_sec,TECam,7.35
8,26,M,avg_moves,PBg,4.26
8,26,M,avg_moves,PCam,11.35
8,26,M,avg_moves,TECam,13.96
8,26,M,total_errors,PBg,1
8,26,M,total_errors,PCam,17
8,26,M,total_errors,TECam,8
9,65,M,avg_time_sec,PBg,8.14
9,65,M,avg_time_sec,PCam,8.9
9,65,M,avg_time_sec,TECam,11.22
9,65,M,avg_moves,PBg,5.57
9,65,M,avg_moves,PCam,4.7
9,65,M,avg_moves,TECam,6.3
9,65,M,total_errors,PBg,0
9,65,M,total_errors,PCam,4
9,65,M,total_errors,TECam,1
12,45,M,avg_time_sec,PBg,4.44
12,45,M,avg_time_sec,PCam,7.45
12,45,M,avg_time_sec,TECam,5.83
12,45,M,avg_moves,PBg,2.43
12,45,M,avg_moves,PCam,6.61
12,45,M,avg_moves,TECam,4.22
12,45,M,total_errors,PBg,0
12,45,M,total_errors,PCam,2
12,45,M,total_errors,TECam,0
2,23,F,avg_time_sec,PBg,4.27
2,23,F,avg_time_sec,PCam,5.69
2,23,F,avg_time_sec,TECam,4.91
2,23,F,avg_moves,PBg,4.13
2,23,F,avg_moves,PCam,7.3
2,23,F,avg_moves,TECam,4.7
2,23,F,total_errors,PBg,0
2,23,F,total_errors,PCam,11
2,23,F,total_errors,TECam,4
4,65,F,avg_time_sec,PBg,8.57
4,65,F,avg_time_sec,PCam,7.88
4,65,F,avg_time_sec,TECam,9.2
4,65,F,avg_moves,PBg,5.22
4,65,F,avg_moves,PCam,4.61
4,65,F,avg_moves,TECam,6.65
4,65,F,total_errors,PBg,0
4,65,F,total_errors,PCam,1
4,65,F,total_errors,TECam,1
5,18,F,avg_time_sec,PBg,3.88
5,18,F,avg_time_sec,PCam,4.07
5,18,F,avg_time_sec,TECam,4.57
5,18,F,avg_moves,PBg,3.74
5,18,F,avg_moves,PCam,4.04
5,18,F,avg_moves,TECam,6.13
5,18,F,total_errors,PBg,0
5,18,F,total_errors,PCam,4
5,18,F,total_errors,TECam,1
6,39,F,avg_time_sec,PBg,3.71
6,39,F,avg_time_sec,PCam,5.49
6,39,F,avg_time_sec,TECam,7.08
6,39,F,avg_moves,PBg,2.57
6,39,F,avg_moves,PCam,5.09
6,39,F,avg_moves,TECam,4.57
6,39,F,total_errors,PBg,1
6,39,F,total_errors,PCam,3
6,39,F,total_errors,TECam,13
10,50,F,avg_time_sec,PBg,3.81
10,50,F,avg_time_sec,PCam,4.65
10,50,F,avg_time_sec,TECam,5.29
10,50,F,avg_moves,PBg,2.09
10,50,F,avg_moves,PCam,2.39
10,50,F,avg_moves,TECam,4.3
10,50,F,total_errors,PBg,0
10,50,F,total_errors,PCam,9
10,50,F,total_errors,TECam,13
11,19,F,avg_time_sec,PBg,2.53
11,19,F,avg_time_sec,PCam,4.79
11,19,F,avg_time_sec,TECam,3.88
11,19,F,avg_moves,PBg,1.87
11,19,F,avg_moves,PCam,5.09
11,19,F,avg_moves,TECam,3.3
11,19,F,total_errors,PBg,0
11,19,F,total_errors,PCam,14
11,19,F,total_errors,TECam,4
