Subject,Age,Gender,avg_time_sec_PBg,avg_time_sec_PCam,avg_time_sec_TECam,avg_moves_PBg,avg_moves_PCam,avg_moves_TECam,total_errors_PBg,total_errors_PCam,total_errors_TECam
1,21,M,3.06,5.03,5.66,1.48,2.26,3.96,0,4,5
3,43,M,6.48,4.66,7.18,2.57,1.74,6.26,0,3,1
7,29,M,4.58,7.16,6.33,2.39,6.87,7.13,0,11,1
8,26,M,6.29,7.48,7.35,4.26,11.35,13.96,1,17,8
9,65,M,8.14,8.90,11.22,5.57,4.70,6.30,0,4,1
12,45,M,4.44,7.45,5.83,2.43,6.61,4.22,0,2,0
2,23,F,4.27,5.69,4.91,4.13,7.30,4.70,0,11,4
4,65,F,8.57,7.88,9.20,5.22,4.61,6.65,0,1,1
5,18,F,3.88,4.07,4.57,3.74,4.04,6.13,0,4,1
6,39,F,3.71,5.49,7.08,2.57,5.09,4.57,1,3,13
10,50,F,3.81,4.65,5.29,2.09,2.39,4.30,0,9,13
11,19,F,2.53,4.79,3.88,1.87,5.09,3.30,0,14,4
